,Vehicles,Month,Day,Hour,Vehicles_lag_1,Vehicles_lag_2
2015-11-03 15:00:00,8,11,3,15,8.0,5.0
2015-11-03 16:00:00,5,11,3,16,8.0,8.0
2015-11-03 17:00:00,7,11,3,17,5.0,8.0
2015-11-03 18:00:00,4,11,3,18,7.0,5.0
2015-11-03 19:00:00,7,11,3,19,4.0,7.0
2015-11-03 20:00:00,6,11,3,20,7.0,4.0
2015-11-03 21:00:00,6,11,3,21,6.0,7.0
2015-11-03 22:00:00,9,11,3,22,6.0,6.0
2015-11-03 23:00:00,3,11,3,23,9.0,6.0
2015-11-04 00:00:00,2,11,4,0,3.0,9.0
2015-11-04 01:00:00,6,11,4,1,2.0,3.0
2015-11-04 02:00:00,3,11,4,2,6.0,2.0
2015-11-04 03:00:00,6,11,4,3,3.0,6.0
2015-11-04 04:00:00,1,11,4,4,6.0,3.0
2015-11-04 05:00:00,6,11,4,5,1.0,6.0
2015-11-04 06:00:00,2,11,4,6,6.0,1.0
2015-11-04 07:00:00,3,11,4,7,2.0,6.0
2015-11-04 08:00:00,5,11,4,8,3.0,2.0
2015-11-04 09:00:00,5,11,4,9,5.0,3.0
2015-11-04 10:00:00,3,11,4,10,5.0,5.0
2015-11-04 11:00:00,4,11,4,11,3.0,5.0
2015-11-04 12:00:00,7,11,4,12,4.0,3.0
2015-11-04 13:00:00,5,11,4,13,7.0,4.0
2015-11-04 14:00:00,5,11,4,14,5.0,7.0
2015-11-04 15:00:00,7,11,4,15,5.0,5.0
2015-11-04 16:00:00,9,11,4,16,7.0,5.0
2015-11-04 17:00:00,8,11,4,17,9.0,7.0
2015-11-04 18:00:00,7,11,4,18,8.0,9.0
2015-11-04 19:00:00,6,11,4,19,7.0,8.0
2015-11-04 20:00:00,8,11,4,20,6.0,7.0
2015-11-04 21:00:00,5,11,4,21,8.0,6.0
2015-11-04 22:00:00,4,11,4,22,5.0,8.0
2015-11-04 23:00:00,4,11,4,23,4.0,5.0
2015-11-05 00:00:00,6,11,5,0,4.0,4.0
2015-11-05 01:00:00,3,11,5,1,6.0,4.0
2015-11-05 02:00:00,1,11,5,2,3.0,6.0
2015-11-05 03:00:00,2,11,5,3,1.0,3.0
2015-11-05 04:00:00,1,11,5,4,2.0,1.0
2015-11-05 05:00:00,4,11,5,5,1.0,2.0
2015-11-05 06:00:00,4,11,5,6,4.0,1.0
2015-11-05 07:00:00,4,11,5,7,4.0,4.0
2015-11-05 08:00:00,4,11,5,8,4.0,4.0
2015-11-05 09:00:00,5,11,5,9,4.0,4.0
2015-11-05 10:00:00,5,11,5,10,5.0,4.0
2015-11-05 11:00:00,2,11,5,11,5.0,5.0
2015-11-05 12:00:00,7,11,5,12,2.0,5.0
2015-11-05 13:00:00,6,11,5,13,7.0,2.0
2015-11-05 14:00:00,5,11,5,14,6.0,7.0
2015-11-05 15:00:00,4,11,5,15,5.0,6.0
2015-11-05 16:00:00,4,11,5,16,4.0,5.0
2015-11-05 17:00:00,6,11,5,17,4.0,4.0
2015-11-05 18:00:00,8,11,5,18,6.0,4.0
2015-11-05 19:00:00,4,11,5,19,8.0,6.0
2015-11-05 20:00:00,6,11,5,20,4.0,8.0
2015-11-05 21:00:00,5,11,5,21,6.0,4.0
2015-11-05 22:00:00,4,11,5,22,5.0,6.0
2015-11-05 23:00:00,6,11,5,23,4.0,5.0
2015-11-06 00:00:00,3,11,6,0,6.0,4.0
2015-11-06 01:00:00,3,11,6,1,3.0,6.0
2015-11-06 02:00:00,2,11,6,2,3.0,3.0
2015-11-06 03:00:00,3,11,6,3,2.0,3.0
2015-11-06 04:00:00,1,11,6,4,3.0,2.0
2015-11-06 05:00:00,3,11,6,5,1.0,3.0
2015-11-06 06:00:00,2,11,6,6,3.0,1.0
2015-11-06 07:00:00,5,11,6,7,2.0,3.0
2015-11-06 08:00:00,3,11,6,8,5.0,2.0
2015-11-06 09:00:00,7,11,6,9,3.0,5.0
2015-11-06 10:00:00,2,11,6,10,7.0,3.0
2015-11-06 11:00:00,6,11,6,11,2.0,7.0
2015-11-06 12:00:00,5,11,6,12,6.0,2.0
2015-11-06 13:00:00,3,11,6,13,5.0,6.0
2015-11-06 14:00:00,7,11,6,14,3.0,5.0
2015-11-06 15:00:00,3,11,6,15,7.0,3.0
2015-11-06 16:00:00,5,11,6,16,3.0,7.0
2015-11-06 17:00:00,5,11,6,17,5.0,3.0
2015-11-06 18:00:00,8,11,6,18,5.0,5.0
2015-11-06 19:00:00,6,11,6,19,8.0,5.0
2015-11-06 20:00:00,2,11,6,20,6.0,8.0
2015-11-06 21:00:00,5,11,6,21,2.0,6.0
2015-11-06 22:00:00,6,11,6,22,5.0,2.0
2015-11-06 23:00:00,6,11,6,23,6.0,5.0
2015-11-07 00:00:00,3,11,7,0,6.0,6.0
2015-11-07 01:00:00,6,11,7,1,3.0,6.0
2015-11-07 02:00:00,3,11,7,2,6.0,3.0
2015-11-07 03:00:00,4,11,7,3,3.0,6.0
2015-11-07 04:00:00,5,11,7,4,4.0,3.0
2015-11-07 05:00:00,6,11,7,5,5.0,4.0
2015-11-07 06:00:00,1,11,7,6,6.0,5.0
2015-11-07 07:00:00,2,11,7,7,1.0,6.0
2015-11-07 08:00:00,2,11,7,8,2.0,1.0
2015-11-07 09:00:00,2,11,7,9,2.0,2.0
2015-11-07 10:00:00,3,11,7,10,2.0,2.0
2015-11-07 11:00:00,4,11,7,11,3.0,2.0
2015-11-07 12:00:00,4,11,7,12,4.0,3.0
2015-11-07 13:00:00,3,11,7,13,4.0,4.0
2015-11-07 14:00:00,9,11,7,14,3.0,4.0
2015-11-07 15:00:00,3,11,7,15,9.0,3.0
2015-11-07 16:00:00,5,11,7,16,3.0,9.0
2015-11-07 17:00:00,4,11,7,17,5.0,3.0
2015-11-07 18:00:00,4,11,7,18,4.0,5.0
2015-11-07 19:00:00,5,11,7,19,4.0,4.0
2015-11-07 20:00:00,7,11,7,20,5.0,4.0
2015-11-07 21:00:00,3,11,7,21,7.0,5.0
2015-11-07 22:00:00,6,11,7,22,3.0,7.0
2015-11-07 23:00:00,3,11,7,23,6.0,3.0
2015-11-08 00:00:00,4,11,8,0,3.0,6.0
2015-11-08 01:00:00,6,11,8,1,4.0,3.0
2015-11-08 02:00:00,3,11,8,2,6.0,4.0
2015-11-08 03:00:00,3,11,8,3,3.0,6.0
2015-11-08 04:00:00,5,11,8,4,3.0,3.0
2015-11-08 05:00:00,5,11,8,5,5.0,3.0
2015-11-08 06:00:00,2,11,8,6,5.0,5.0
2015-11-08 07:00:00,5,11,8,7,2.0,5.0
2015-11-08 08:00:00,5,11,8,8,5.0,2.0
2015-11-08 09:00:00,6,11,8,9,5.0,5.0
2015-11-08 10:00:00,10,11,8,10,6.0,5.0
2015-11-08 11:00:00,11,11,8,11,10.0,6.0
2015-11-08 12:00:00,3,11,8,12,11.0,10.0
2015-11-08 13:00:00,3,11,8,13,3.0,11.0
2015-11-08 14:00:00,6,11,8,14,3.0,3.0
2015-11-08 15:00:00,4,11,8,15,6.0,3.0
2015-11-08 16:00:00,2,11,8,16,4.0,6.0
2015-11-08 17:00:00,2,11,8,17,2.0,4.0
2015-11-08 18:00:00,7,11,8,18,2.0,2.0
2015-11-08 19:00:00,6,11,8,19,7.0,2.0
2015-11-08 20:00:00,5,11,8,20,6.0,7.0
2015-11-08 21:00:00,6,11,8,21,5.0,6.0
2015-11-08 22:00:00,6,11,8,22,6.0,5.0
2015-11-08 23:00:00,3,11,8,23,6.0,6.0
2015-11-09 00:00:00,3,11,9,0,3.0,6.0
2015-11-09 01:00:00,5,11,9,1,3.0,3.0
2015-11-09 02:00:00,2,11,9,2,5.0,3.0
2015-11-09 03:00:00,6,11,9,3,2.0,5.0
2015-11-09 04:00:00,2,11,9,4,6.0,2.0
2015-11-09 05:00:00,5,11,9,5,2.0,6.0
2015-11-09 06:00:00,5,11,9,6,5.0,2.0
2015-11-09 07:00:00,2,11,9,7,5.0,5.0
2015-11-09 08:00:00,6,11,9,8,2.0,5.0
2015-11-09 09:00:00,7,11,9,9,6.0,2.0
2015-11-09 10:00:00,5,11,9,10,7.0,6.0
2015-11-09 11:00:00,5,11,9,11,5.0,7.0
2015-11-09 12:00:00,6,11,9,12,5.0,5.0
2015-11-09 13:00:00,4,11,9,13,6.0,5.0
2015-11-09 14:00:00,6,11,9,14,4.0,6.0
2015-11-09 15:00:00,3,11,9,15,6.0,4.0
2015-11-09 16:00:00,4,11,9,16,3.0,6.0
2015-11-09 17:00:00,4,11,9,17,4.0,3.0
2015-11-09 18:00:00,6,11,9,18,4.0,4.0
2015-11-09 19:00:00,8,11,9,19,6.0,4.0
2015-11-09 20:00:00,6,11,9,20,8.0,6.0
2015-11-09 21:00:00,5,11,9,21,6.0,8.0
2015-11-09 22:00:00,8,11,9,22,5.0,6.0
2015-11-09 23:00:00,8,11,9,23,8.0,5.0
2015-11-10 00:00:00,12,11,10,0,8.0,8.0
2015-11-10 01:00:00,6,11,10,1,12.0,8.0
2015-11-10 02:00:00,7,11,10,2,6.0,12.0
2015-11-10 03:00:00,4,11,10,3,7.0,6.0
2015-11-10 04:00:00,6,11,10,4,4.0,7.0
2015-11-10 05:00:00,7,11,10,5,6.0,4.0
2015-11-10 06:00:00,3,11,10,6,7.0,6.0
2015-11-10 07:00:00,6,11,10,7,3.0,7.0
2015-11-10 08:00:00,4,11,10,8,6.0,3.0
2015-11-10 09:00:00,6,11,10,9,4.0,6.0
2015-11-10 10:00:00,5,11,10,10,6.0,4.0
2015-11-10 11:00:00,5,11,10,11,5.0,6.0
2015-11-10 12:00:00,2,11,10,12,5.0,5.0
2015-11-10 13:00:00,4,11,10,13,2.0,5.0
2015-11-10 14:00:00,7,11,10,14,4.0,2.0
2015-11-10 15:00:00,6,11,10,15,7.0,4.0
2015-11-10 16:00:00,4,11,10,16,6.0,7.0
2015-11-10 17:00:00,6,11,10,17,4.0,6.0
2015-11-10 18:00:00,2,11,10,18,6.0,4.0
2015-11-10 19:00:00,5,11,10,19,2.0,6.0
2015-11-10 20:00:00,7,11,10,20,5.0,2.0
2015-11-10 21:00:00,9,11,10,21,7.0,5.0
2015-11-10 22:00:00,6,11,10,22,9.0,7.0
2015-11-10 23:00:00,7,11,10,23,6.0,9.0
2015-11-11 00:00:00,6,11,11,0,7.0,6.0
2015-11-11 01:00:00,5,11,11,1,6.0,7.0
2015-11-11 02:00:00,3,11,11,2,5.0,6.0
2015-11-11 03:00:00,5,11,11,3,3.0,5.0
2015-11-11 04:00:00,6,11,11,4,5.0,3.0
2015-11-11 05:00:00,2,11,11,5,6.0,5.0
2015-11-11 06:00:00,4,11,11,6,2.0,6.0
2015-11-11 07:00:00,3,11,11,7,4.0,2.0
2015-11-11 08:00:00,2,11,11,8,3.0,4.0
2015-11-11 09:00:00,6,11,11,9,2.0,3.0
2015-11-11 10:00:00,3,11,11,10,6.0,2.0
2015-11-11 11:00:00,3,11,11,11,3.0,6.0
2015-11-11 12:00:00,6,11,11,12,3.0,3.0
2015-11-11 13:00:00,5,11,11,13,6.0,3.0
2015-11-11 14:00:00,6,11,11,14,5.0,6.0
2015-11-11 15:00:00,4,11,11,15,6.0,5.0
2015-11-11 16:00:00,4,11,11,16,4.0,6.0
2015-11-11 17:00:00,6,11,11,17,4.0,4.0
2015-11-11 18:00:00,5,11,11,18,6.0,4.0
2015-11-11 19:00:00,6,11,11,19,5.0,6.0
2015-11-11 20:00:00,5,11,11,20,6.0,5.0
2015-11-11 21:00:00,8,11,11,21,5.0,6.0
2015-11-11 22:00:00,2,11,11,22,8.0,5.0
2015-11-11 23:00:00,6,11,11,23,2.0,8.0
2015-11-12 00:00:00,6,11,12,0,6.0,2.0
2015-11-12 01:00:00,5,11,12,1,6.0,6.0
2015-11-12 02:00:00,4,11,12,2,5.0,6.0
2015-11-12 03:00:00,3,11,12,3,4.0,5.0
2015-11-12 04:00:00,5,11,12,4,3.0,4.0
2015-11-12 05:00:00,2,11,12,5,5.0,3.0
2015-11-12 06:00:00,1,11,12,6,2.0,5.0
2015-11-12 07:00:00,5,11,12,7,1.0,2.0
2015-11-12 08:00:00,5,11,12,8,5.0,1.0
2015-11-12 09:00:00,2,11,12,9,5.0,5.0
2015-11-12 10:00:00,5,11,12,10,2.0,5.0
2015-11-12 11:00:00,6,11,12,11,5.0,2.0
2015-11-12 12:00:00,6,11,12,12,6.0,5.0
2015-11-12 13:00:00,6,11,12,13,6.0,6.0
2015-11-12 14:00:00,3,11,12,14,6.0,6.0
2015-11-12 15:00:00,8,11,12,15,3.0,6.0
2015-11-12 16:00:00,4,11,12,16,8.0,3.0
2015-11-12 17:00:00,6,11,12,17,4.0,8.0
2015-11-12 18:00:00,9,11,12,18,6.0,4.0
2015-11-12 19:00:00,6,11,12,19,9.0,6.0
2015-11-12 20:00:00,4,11,12,20,6.0,9.0
2015-11-12 21:00:00,7,11,12,21,4.0,6.0
2015-11-12 22:00:00,3,11,12,22,7.0,4.0
2015-11-12 23:00:00,5,11,12,23,3.0,7.0
2015-11-13 00:00:00,4,11,13,0,5.0,3.0
2015-11-13 01:00:00,3,11,13,1,4.0,5.0
2015-11-13 02:00:00,4,11,13,2,3.0,4.0
2015-11-13 03:00:00,6,11,13,3,4.0,3.0
2015-11-13 04:00:00,4,11,13,4,6.0,4.0
2015-11-13 05:00:00,2,11,13,5,4.0,6.0
2015-11-13 06:00:00,5,11,13,6,2.0,4.0
2015-11-13 07:00:00,3,11,13,7,5.0,2.0
2015-11-13 08:00:00,4,11,13,8,3.0,5.0
2015-11-13 09:00:00,3,11,13,9,4.0,3.0
2015-11-13 10:00:00,4,11,13,10,3.0,4.0
2015-11-13 11:00:00,8,11,13,11,4.0,3.0
2015-11-13 12:00:00,3,11,13,12,8.0,4.0
2015-11-13 13:00:00,4,11,13,13,3.0,8.0
2015-11-13 14:00:00,3,11,13,14,4.0,3.0
2015-11-13 15:00:00,5,11,13,15,3.0,4.0
2015-11-13 16:00:00,5,11,13,16,5.0,3.0
2015-11-13 17:00:00,8,11,13,17,5.0,5.0
2015-11-13 18:00:00,4,11,13,18,8.0,5.0
2015-11-13 19:00:00,5,11,13,19,4.0,8.0
2015-11-13 20:00:00,6,11,13,20,5.0,4.0
2015-11-13 21:00:00,6,11,13,21,6.0,5.0
2015-11-13 22:00:00,6,11,13,22,6.0,6.0
2015-11-13 23:00:00,8,11,13,23,6.0,6.0
2015-11-14 00:00:00,3,11,14,0,8.0,6.0
2015-11-14 01:00:00,4,11,14,1,3.0,8.0
2015-11-14 02:00:00,7,11,14,2,4.0,3.0
2015-11-14 03:00:00,5,11,14,3,7.0,4.0
2015-11-14 04:00:00,1,11,14,4,5.0,7.0
2015-11-14 05:00:00,2,11,14,5,1.0,5.0
2015-11-14 06:00:00,5,11,14,6,2.0,1.0
2015-11-14 07:00:00,5,11,14,7,5.0,2.0
2015-11-14 08:00:00,6,11,14,8,5.0,5.0
2015-11-14 09:00:00,3,11,14,9,6.0,5.0
2015-11-14 10:00:00,5,11,14,10,3.0,6.0
2015-11-14 11:00:00,4,11,14,11,5.0,3.0
2015-11-14 12:00:00,6,11,14,12,4.0,5.0
2015-11-14 13:00:00,2,11,14,13,6.0,4.0
2015-11-14 14:00:00,6,11,14,14,2.0,6.0
2015-11-14 15:00:00,4,11,14,15,6.0,2.0
2015-11-14 16:00:00,2,11,14,16,4.0,6.0
2015-11-14 17:00:00,6,11,14,17,2.0,4.0
2015-11-14 18:00:00,4,11,14,18,6.0,2.0
2015-11-14 19:00:00,3,11,14,19,4.0,6.0
2015-11-14 20:00:00,4,11,14,20,3.0,4.0
2015-11-14 21:00:00,5,11,14,21,4.0,3.0
2015-11-14 22:00:00,2,11,14,22,5.0,4.0
2015-11-14 23:00:00,5,11,14,23,2.0,5.0
2015-11-15 00:00:00,6,11,15,0,5.0,2.0
2015-11-15 01:00:00,4,11,15,1,6.0,5.0
2015-11-15 02:00:00,1,11,15,2,4.0,6.0
2015-11-15 03:00:00,3,11,15,3,1.0,4.0
2015-11-15 04:00:00,3,11,15,4,3.0,1.0
2015-11-15 05:00:00,1,11,15,5,3.0,3.0
2015-11-15 06:00:00,2,11,15,6,1.0,3.0
2015-11-15 07:00:00,3,11,15,7,2.0,1.0
2015-11-15 08:00:00,6,11,15,8,3.0,2.0
2015-11-15 09:00:00,2,11,15,9,6.0,3.0
2015-11-15 10:00:00,3,11,15,10,2.0,6.0
2015-11-15 11:00:00,2,11,15,11,3.0,2.0
2015-11-15 12:00:00,4,11,15,12,2.0,3.0
2015-11-15 13:00:00,2,11,15,13,4.0,2.0
2015-11-15 14:00:00,6,11,15,14,2.0,4.0
2015-11-15 15:00:00,6,11,15,15,6.0,2.0
2015-11-15 16:00:00,2,11,15,16,6.0,6.0
2015-11-15 17:00:00,6,11,15,17,2.0,6.0
2015-11-15 18:00:00,2,11,15,18,6.0,2.0
2015-11-15 19:00:00,3,11,15,19,2.0,6.0
2015-11-15 20:00:00,5,11,15,20,3.0,2.0
2015-11-15 21:00:00,5,11,15,21,5.0,3.0
2015-11-15 22:00:00,2,11,15,22,5.0,5.0
2015-11-15 23:00:00,4,11,15,23,2.0,5.0
2015-11-16 00:00:00,6,11,16,0,4.0,2.0
2015-11-16 01:00:00,5,11,16,1,6.0,4.0
2015-11-16 02:00:00,1,11,16,2,5.0,6.0
2015-11-16 03:00:00,5,11,16,3,1.0,5.0
2015-11-16 04:00:00,1,11,16,4,5.0,1.0
2015-11-16 05:00:00,4,11,16,5,1.0,5.0
2015-11-16 06:00:00,3,11,16,6,4.0,1.0
2015-11-16 07:00:00,5,11,16,7,3.0,4.0
2015-11-16 08:00:00,2,11,16,8,5.0,3.0
2015-11-16 09:00:00,3,11,16,9,2.0,5.0
2015-11-16 10:00:00,5,11,16,10,3.0,2.0
2015-11-16 11:00:00,7,11,16,11,5.0,3.0
2015-11-16 12:00:00,6,11,16,12,7.0,5.0
2015-11-16 13:00:00,4,11,16,13,6.0,7.0
2015-11-16 14:00:00,6,11,16,14,4.0,6.0
2015-11-16 15:00:00,8,11,16,15,6.0,4.0
2015-11-16 16:00:00,11,11,16,16,8.0,6.0
2015-11-16 17:00:00,13,11,16,17,11.0,8.0
2015-11-16 18:00:00,5,11,16,18,13.0,11.0
2015-11-16 19:00:00,12,11,16,19,5.0,13.0
2015-11-16 20:00:00,8,11,16,20,12.0,5.0
2015-11-16 21:00:00,7,11,16,21,8.0,12.0
2015-11-16 22:00:00,9,11,16,22,7.0,8.0
2015-11-16 23:00:00,6,11,16,23,9.0,7.0
2015-11-17 00:00:00,12,11,17,0,6.0,9.0
2015-11-17 01:00:00,11,11,17,1,12.0,6.0
2015-11-17 02:00:00,4,11,17,2,11.0,12.0
2015-11-17 03:00:00,6,11,17,3,4.0,11.0
2015-11-17 04:00:00,4,11,17,4,6.0,4.0
2015-11-17 05:00:00,3,11,17,5,4.0,6.0
2015-11-17 06:00:00,4,11,17,6,3.0,4.0
2015-11-17 07:00:00,7,11,17,7,4.0,3.0
2015-11-17 08:00:00,6,11,17,8,7.0,4.0
2015-11-17 09:00:00,7,11,17,9,6.0,7.0
2015-11-17 10:00:00,8,11,17,10,7.0,6.0
2015-11-17 11:00:00,7,11,17,11,8.0,7.0
2015-11-17 12:00:00,9,11,17,12,7.0,8.0
2015-11-17 13:00:00,4,11,17,13,9.0,7.0
2015-11-17 14:00:00,6,11,17,14,4.0,9.0
2015-11-17 15:00:00,13,11,17,15,6.0,4.0
2015-11-17 16:00:00,8,11,17,16,13.0,6.0
2015-11-17 17:00:00,7,11,17,17,8.0,13.0
2015-11-17 18:00:00,6,11,17,18,7.0,8.0
2015-11-17 19:00:00,8,11,17,19,6.0,7.0
2015-11-17 20:00:00,5,11,17,20,8.0,6.0
2015-11-17 21:00:00,8,11,17,21,5.0,8.0
2015-11-17 22:00:00,10,11,17,22,8.0,5.0
2015-11-17 23:00:00,6,11,17,23,10.0,8.0
2015-11-18 00:00:00,4,11,18,0,6.0,10.0
2015-11-18 01:00:00,6,11,18,1,4.0,6.0
2015-11-18 02:00:00,2,11,18,2,6.0,4.0
2015-11-18 03:00:00,4,11,18,3,2.0,6.0
2015-11-18 04:00:00,4,11,18,4,4.0,2.0
2015-11-18 05:00:00,5,11,18,5,4.0,4.0
2015-11-18 06:00:00,5,11,18,6,5.0,4.0
2015-11-18 07:00:00,5,11,18,7,5.0,5.0
2015-11-18 08:00:00,1,11,18,8,5.0,5.0
2015-11-18 09:00:00,8,11,18,9,1.0,5.0
2015-11-18 10:00:00,29,11,18,10,8.0,1.0
2015-11-18 11:00:00,29,11,18,11,29.0,8.0
2015-11-18 12:00:00,18,11,18,12,29.0,29.0
2015-11-18 13:00:00,16,11,18,13,18.0,29.0
2015-11-18 14:00:00,19,11,18,14,16.0,18.0
2015-11-18 15:00:00,17,11,18,15,19.0,16.0
2015-11-18 16:00:00,15,11,18,16,17.0,19.0
2015-11-18 17:00:00,25,11,18,17,15.0,17.0
2015-11-18 18:00:00,32,11,18,18,25.0,15.0
2015-11-18 19:00:00,34,11,18,19,32.0,25.0
2015-11-18 20:00:00,30,11,18,20,34.0,32.0
2015-11-18 21:00:00,25,11,18,21,30.0,34.0
2015-11-18 22:00:00,23,11,18,22,25.0,30.0
2015-11-18 23:00:00,16,11,18,23,23.0,25.0
2015-11-19 00:00:00,14,11,19,0,16.0,23.0
2015-11-19 01:00:00,11,11,19,1,14.0,16.0
2015-11-19 02:00:00,7,11,19,2,11.0,14.0
2015-11-19 03:00:00,8,11,19,3,7.0,11.0
2015-11-19 04:00:00,6,11,19,4,8.0,7.0
2015-11-19 05:00:00,4,11,19,5,6.0,8.0
2015-11-19 06:00:00,7,11,19,6,4.0,6.0
2015-11-19 07:00:00,6,11,19,7,7.0,4.0
2015-11-19 08:00:00,7,11,19,8,6.0,7.0
2015-11-19 09:00:00,15,11,19,9,7.0,6.0
2015-11-19 10:00:00,14,11,19,10,15.0,7.0
2015-11-19 11:00:00,16,11,19,11,14.0,15.0
2015-11-19 12:00:00,20,11,19,12,16.0,14.0
2015-11-19 13:00:00,24,11,19,13,20.0,16.0
2015-11-19 14:00:00,35,11,19,14,24.0,20.0
2015-11-19 15:00:00,39,11,19,15,35.0,24.0
2015-11-19 16:00:00,39,11,19,16,39.0,35.0
2015-11-19 17:00:00,23,11,19,17,39.0,39.0
2015-11-19 18:00:00,23,11,19,18,23.0,39.0
2015-11-19 19:00:00,22,11,19,19,23.0,23.0
2015-11-19 20:00:00,20,11,19,20,22.0,23.0
2015-11-19 21:00:00,18,11,19,21,20.0,22.0
2015-11-19 22:00:00,18,11,19,22,18.0,20.0
2015-11-19 23:00:00,24,11,19,23,18.0,18.0
2015-11-20 00:00:00,31,11,20,0,24.0,18.0
2015-11-20 01:00:00,18,11,20,1,31.0,24.0
2015-11-20 02:00:00,13,11,20,2,18.0,31.0
2015-11-20 03:00:00,7,11,20,3,13.0,18.0
2015-11-20 04:00:00,9,11,20,4,7.0,13.0
2015-11-20 05:00:00,9,11,20,5,9.0,7.0
2015-11-20 06:00:00,13,11,20,6,9.0,9.0
2015-11-20 07:00:00,12,11,20,7,13.0,9.0
2015-11-20 08:00:00,15,11,20,8,12.0,13.0
2015-11-20 09:00:00,21,11,20,9,15.0,12.0
2015-11-20 10:00:00,31,11,20,10,21.0,15.0
2015-11-20 11:00:00,26,11,20,11,31.0,21.0
2015-11-20 12:00:00,30,11,20,12,26.0,31.0
2015-11-20 13:00:00,26,11,20,13,30.0,26.0
2015-11-20 14:00:00,21,11,20,14,26.0,30.0
2015-11-20 15:00:00,26,11,20,15,21.0,26.0
2015-11-20 16:00:00,24,11,20,16,26.0,21.0
2015-11-20 17:00:00,17,11,20,17,24.0,26.0
2015-11-20 18:00:00,16,11,20,18,17.0,24.0
2015-11-20 19:00:00,17,11,20,19,16.0,17.0
2015-11-20 20:00:00,19,11,20,20,17.0,16.0
2015-11-20 21:00:00,19,11,20,21,19.0,17.0
2015-11-20 22:00:00,18,11,20,22,19.0,19.0
2015-11-20 23:00:00,22,11,20,23,18.0,19.0
